id,price,area,bedrooms,wc,n_floors,car_place,latitude,longitude
120477,5.4,32,4.0,3.0,4.0,0,10.7651403,106.6738333
120479,4.4,36,4.0,2.0,2.0,0,10.7794346,106.6779732
120487,7.2,100,5.0,5.0,2.0,1,10.881053,106.6388025
120493,2.73,45,3.0,1.0,1.0,0,10.7475387,106.6495243
120498,5.3,109,1.0,1.0,2.0,0,10.8678527,106.6231544
120500,3.0,30,3.0,2.0,3.0,0,10.7794346,106.6779732
120502,3.0,30,3.0,2.0,1.0,1,10.782445,106.667204
120266,10.5,60,4.0,4.0,2.0,1,10.802271,106.7193849
120271,5.1,51,3.0,2.0,2.0,1,10.8449377,106.778642
120275,5.0,28,4.0,3.0,2.0,1,10.7638821,106.6757725
120276,2.8,62,4.0,2.0,2.0,1,10.8428486,106.6309776
120278,5.0,52,2.0,2.0,2.0,1,10.7652659,106.6037849
120281,5.0,27,4.0,3.0,2.0,1,10.7638821,106.6757725
120294,4.847,75,2.0,2.0,2.0,0,10.8397,106.77093
120350,10.5,48,3.0,1.0,2.0,0,10.7415734,106.7158895
120354,5.9,80,2.0,3.241952546224121,1.0,0,10.8185798,106.688051
120355,5.8,110,5.0,3.0,2.0,1,10.8397,106.77093
120357,3.8,32,6.0,5.0,2.0,0,10.8145634,106.6788609
120358,3.9,43,3.0,2.0,2.0,1,10.8428486,106.6309776
120360,2.89,82,3.0,3.0,4.0,1,10.7606353,106.7081442
120362,5.9,80,2.0,3.241952546224121,1.0,0,10.8185798,106.688051
120364,6.8,37,3.0,2.0,3.0,1,10.7777162,106.6913317
120377,6.5,65,3.0,2.0,2.0,1,10.8105818,106.6901783
120315,0.012,96,5.0,5.0,3.0,0,10.8397,106.77093
120317,6.7,95,3.0,4.269358556693186,3.0,0,10.756825,106.5866009
120323,6.5,23,2.0,2.0,2.0,0,10.7631138,106.6778249
120324,3.6,32,4.0,4.0,4.0,1,10.80905,106.6856488
120325,6.5,23,2.0,2.0,2.0,0,10.7651403,106.6738333
120331,2.99,40,2.0,3.0,1.0,0,10.8145634,106.6788609
120335,2.55,28,2.0,2.0,1.0,0,10.7728443,106.6141073
120336,3.7,41,3.0,3.0,1.0,0,10.722622,106.6046099
120340,0.08,0,1.557883626292203,5.930281296098041,2.0,1,10.7594668,106.6839548
120179,0.016,55,1.0,1.3726140893310574,1.0,0,10.7912672,106.7183182
120186,1.8,32,1.0,1.0,1.0,0,10.8397,106.77093
120197,4.0,27,2.0,3.0,4.0,0,10.7794346,106.6779732
120200,0.021,64,5.0,4.0,2.0,0,10.7675811,106.686116
120202,6.5,95,3.0,5.0,2.0,0,10.756825,106.5866009
120203,2.97,17,2.0,2.0,2.0,1,10.7954574,106.682797
