	id	price	area	bedrooms	wc	n_floors	car_place	house_orientation	furniture	facade	legal	street	district	type	date	address	latitude	longitude
3687	85158	3.15	51				False			False			quận 3	tin thường	02/12/2022	quận 3	10.778639	106.6870156
3688	95142		51	3.0	3.0	1.0	True			True			bình thạnh	tin thường	18/04/2023	bình thạnh	10.8017639	106.7110322
3689	104614	30.0	230			2.0	True			True		số 3	thủ đức	tin thường	08/08/2023	số 3, thủ đức	10.8079152	106.779272
3690	103590	40.0	215			5.0	True			True			tân bình	tin thường	26/07/2023	tân bình	10.802583	106.6521157
3691	102822	7.9	64	5.0		4.0	False			False			quận 11	tin thường	20/07/2023	quận 11	10.7658124	106.6474946
3692	101542	8.7	50	6.0		5.0	True			False			quận 11	tin thường	08/07/2023	quận 11	10.7658124	106.6474946
3693	100774	8.8	70	4.0	5.0	4.0	True			False			tân bình	tin thường	29/06/2023	tân bình	10.802583	106.6521157
3694	100262	2.7	23	2.0	2.0	2.0	False			True		hcm	bình thạnh	tin thường	24/06/2023	hcm, bình thạnh	10.7970171	106.7031929
3695	98982	3.8	38	2.0	2.0	1.0	True			False			tân bình	tin thường	10/06/2023	tân bình	10.802583	106.6521157
3696	97958	3.35	34	3.0	3.0		True			False			quận 3	tin thường	29/05/2023	quận 3	10.778639	106.6870156
3697	97190	5.8	61			3.0	False			False		kha trí	tân bình	tin thường	21/05/2023	kha trí, tân bình	10.8025	106.66
3698	96422	0.022	136	4.0	4.0	2.0	False			False		liên phường	quận 9	tin thường	09/05/2023	liên phường, quận 9	10.7419664	106.651399
3699	93606	6.95	56				True			True		trần xuân soạn	quận 7	tin thường	31/03/2023	trần xuân soạn, quận 7	10.751721	106.6984938
3700	85414	7.9	66	4.0	5.0		True			False		gò xoài	bình tân	tin thường	05/12/2022	gò xoài, bình tân	10.7835115	106.6036208
3701	93350	9.2	65	4.0	5.0	3.0	True			True		lê văn thọ	gò vấp	tin thường	27/03/2023	lê văn thọ, gò vấp	10.8388125	106.6577193
3702	92326	6.5	78				False	nam		True			thủ đức	tin thường	14/03/2023	thủ đức	10.8298295	106.7617899
3703	91558	3.95	26	2.0	3.0	2.0	False			False		đoàn văn bơ	quận 4	tin thường	07/03/2023	đoàn văn bơ, quận 4	10.7634859	106.7036712
3704	91302	4.8	36	2.0	2.0	1.0	False			False		hẻm 472 xvnt	bình thạnh	tin thường	04/03/2023	hẻm 472 xvnt, bình thạnh	10.77306	106.75444
3705	90790	7.5	75	4.0	3.0	2.0	True			False		hiệp bình	thủ đức	tin thường	25/02/2023	hiệp bình, thủ đức	10.8452151	106.7275007
3706	89510	2.8	36	2.0	1.0	1.0	False			False		hẻm 73	quận 9	tin thường	10/02/2023	hẻm 73, quận 9	10.8397	106.77093
3707	87974	4.0	43	3.0	2.0	2.0	False			False		phan huy ích	gò vấp	tin thường	02/01/2023	phan huy ích, gò vấp	10.8373485	106.6362851
3708	87718	0.24	399	8.0	8.0	8.0	True	đông-nam		True		200 lý tự trọng	quận 1	tin thường	28/12/2022	200 lý tự trọng, quận 1	10.7787207	106.701738
3709	87206	1.79	39	2.0		1.0	True			False		dương đình nghệ	quận 11	tin thường	22/12/2022	dương đình nghệ, quận 11	10.7609108	106.6497996
3710	86438	1.85	48	2.0	2.0	1.0	False			False		hoài thanh	quận 8	tin thường	14/12/2022	hoài thanh, quận 8	10.7398326	106.6492135
3711	105126	7.8	68	4.0		3.0	True			True			tân bình	tin thường	13/08/2023	tân bình	10.802583	106.6521157
3712	105638	5.7	66	2.0	2.0	2.0	False			True			tân phú	tin thường	19/08/2023	tân phú	10.7914967	106.6278431
3713	81831	8.7	52	4.0	3.0	3.0	True			False		nguyễn văn trỗi	phú nhuận	tin thường	04/11/2022	nguyễn văn trỗi, phú nhuận	10.7959666	106.6750376
3714	88999	6.8	80	5.0	6.0	4.0	True			False		song hành	quận 12	tin thường	03/02/2023	song hành, quận 12	10.8297168	106.6256798
3715	87975	5.91	60	3.0	3.0	1.0	True	đông-nam		False			tân bình	tin thường	02/01/2023	tân bình	10.802583	106.6521157
3716	87463	5.2	64	3.0	3.0		False			False		số 7	thủ đức	tin thường	24/12/2022	số 7, thủ đức	10.8298295	106.7617899
3717	86183	6.3	48	3.0	3.0	2.0	True			False			bình thạnh	tin thường	12/12/2022	bình thạnh	10.8017639	106.7110322
3718	85927	3.0	51	1.0	1.0	6.0	False			False		tạ quang bửu	quận 8	tin thường	09/12/2022	tạ quang bửu, quận 8	10.7324304	106.6513555
3719	85671	3.5	42	4.0		3.0	False			False			quận 8	tin thường	07/12/2022	quận 8	10.7217236	106.6296151
3720	84391	6.5	55	3.0		3.0	True			False		lê văn sỹ	phú nhuận	tin thường	25/11/2022	lê văn sỹ, phú nhuận	10.7927793	106.6703227
3721	83623	7.62	64	4.0	4.0	2.0	True	đông-nam		False		lê đức thọ	gò vấp	tin thường	20/11/2022	lê đức thọ, gò vấp	10.8431762	106.67465
3722	83367	2.1	36	2.0	2.0	1.0	True			False			quận 7	tin thường	17/11/2022	quận 7	10.7375481	106.7302238
3723	82087	5.9	52	4.0	4.0	2.0	True			False		tân kỳ tân quý	tân phú	tin thường	07/11/2022	tân kỳ tân quý, tân phú	10.8043144	106.631956
3724	81575	0.56	80	3.0	4.0	2.0	False			False			hóc môn	tin thường	04/11/2022	hóc môn	10.878345	106.5763531
3725	106150	0.093	50				False			False			gò vấp	tin thường	24/08/2023	gò vấp	10.8306171	106.6779308
3726	113062		48	3.0	3.0	3.0	True			False			bình tân	tin thường	27/11/2023	bình tân	10.7703708	106.5996353
3727	112550	3.4	72	3.0	3.0	2.0	False			False			quận 4	tin thường	06/11/2023	quận 4	10.7607328	106.7075519
3728	112294	6.8	96	5.0	5.0	3.0	True			True		thạnh mỹ lợi	quận 2	tin thường	01/11/2023	thạnh mỹ lợi, quận 2	10.7707317	106.7702559
3729	111014	10.8	72	4.0	3.0	2.0	False			False			bình thạnh	tin thường	19/10/2023	bình thạnh	10.8017639	106.7110322
3730	110758	7.7	80			2.0	False			True			bình tân	tin thường	16/10/2023	bình tân	10.7703708	106.5996353
3731	109222	0.093	50				False			False		phạm văn chiêu	gò vấp	tin thường	29/09/2023	phạm văn chiêu, gò vấp	10.848225	106.6481231
3732	108198	5.8	70	4.0	3.0	3.0	True			True			thủ đức	tin thường	16/09/2023	thủ đức	10.8298295	106.7617899
3733	107942	4.68	48	4.0	4.0	2.0	True			False			bình tân	tin thường	14/09/2023	bình tân	10.7703708	106.5996353
3734	107174	2.69	47	3.0	2.0	1.0	True			True		thành phố hồ chí minh	quận 12	tin thường	06/09/2023	thành phố hồ chí minh, quận 12	10.7691922	106.6408619
3735	106918	4.5	72	4.0	4.0	1.0	True	nam		False		tam bình	thủ đức	tin thường	02/09/2023	tam bình, thủ đức	10.8675336	106.7358533
3736	89511	4.0	52	2.0	1.0		True			False		số 2	quận 9	tin thường	10/02/2023	số 2, quận 9	10.8164747	106.7932921
3737	89767	6.1	63	3.0	3.0	3.0	True			False			gò vấp	tin thường	13/02/2023	gò vấp	10.8306171	106.6779308
3738	102311	5.3	52	3.0	3.0	4.0	True			False		bùi thế mỹ	tân bình	tin thường	18/07/2023	bùi thế mỹ, tân bình	10.7848798	106.6483517
3739	109223	4.5	55	4.0	3.0	2.0	True			False		quốc lộ 1k	thủ đức	tin thường	29/09/2023	quốc lộ 1k, thủ đức	10.8790976	106.7669194
3740	108199	4.0	70	3.0	2.0	1.0	True			False		hồ học lãm	bình tân	tin thường	12/09/2023	hồ học lãm, bình tân	10.7342659	106.6032888
3741	107943	0.013	60				False			False			bình tân	tin thường	14/09/2023	bình tân	10.7703708	106.5996353
3742	107431	3.3	64				True			False			tân bình	tin thường	08/09/2023	tân bình	10.802583	106.6521157
3743	107175	5.8	88	2.0	2.0		False			False		số 1	thủ đức	tin thường	06/09/2023	số 1, thủ đức	10.7898232	106.7764953
3744	106919	4.5	80	4.0	3.0		True	nam		False		số 3	thủ đức	tin thường	02/09/2023	số 3, thủ đức	10.8079152	106.779272
3745	106407	13.5	102	4.0	5.0	2.0	False			False		liên phường	quận 9	tin thường	25/08/2023	liên phường, quận 9	10.7419664	106.651399
3746	105127	3.6	45	4.0	4.0	3.0	False			True			phú nhuận	tin thường	13/08/2023	phú nhuận	10.7990972	106.6802278
3747	104103	0.007	90				True			False			bình tân	tin thường	02/08/2023	bình tân	10.7703708	106.5996353
3748	103591	31.0	144			2.0	False			False			bình thạnh	tin thường	26/07/2023	bình thạnh	10.8017639	106.7110322
3749	100007	5.5	38	5.0	4.0	2.0	False			False			phú nhuận	tin thường	21/06/2023	phú nhuận	10.7990972	106.6802278
3750	91815		52				True			True		số 1	quận 7	tin thường	09/03/2023	số 1, quận 7	10.7375481	106.7302238
3751	99751	6.2	45	4.0		5.0	True			False		phan huy ích	gò vấp	tin thường	19/06/2023	phan huy ích, gò vấp	10.8373485	106.6362851
