Cluster,n_floors,area,id,car_place,wc,bedrooms,Distance to center 1,price
1,2.0,28,120275,1,3.0,4.0,3.8151736288941187,5.0
1,2.0,62,120276,1,2.0,4.0,5.5917203368539,2.8
1,2.0,52,120278,1,2.0,2.0,5.571107569435144,5.0
1,2.0,27,120281,1,3.0,4.0,3.8151736288941187,5.0
0,2.0,75,120294,0,2.0,2.0,14.595223518914844,4.847
0,2.0,48,120350,0,1.0,3.0,9.696063542602436,10.5
1,1.0,80,120354,0,3.2235817117140635,2.0,5.36428871739438,5.9
0,2.0,110,120355,1,3.0,5.0,14.595223518914844,5.8
1,2.0,32,120357,0,5.0,6.0,4.272764395120498,3.8
1,2.0,43,120358,1,2.0,3.0,5.5917203368539,3.9
0,4.0,82,120360,1,3.0,3.0,7.822831426744451,2.89
1,1.0,80,120362,0,3.2235817117140635,2.0,5.36428871739438,5.9
1,3.0,37,120364,1,2.0,3.0,5.353966911665565,6.8
1,2.0,65,120377,1,2.0,3.0,5.200283003564136,6.5
0,3.0,96,120315,0,5.0,5.0,14.595223518914844,0.012
1,3.0,95,120317,0,4.3747520808519305,3.0,7.677675250103877,6.7
1,2.0,23,120323,0,2.0,2.0,4.978325182105997,6.5
1,4.0,32,120324,1,4.0,4.0,4.677145411474819,3.6
1,2.0,23,120325,0,2.0,2.0,4.512283077227826,6.5
1,1.0,40,120331,0,3.0,2.0,4.272764395120498,2.99
1,1.0,28,120335,0,2.0,2.0,4.190797281872453,2.55
1,1.0,41,120336,0,3.0,3.0,9.162705038495947,3.7
1,2.0,0,120340,1,5.790635978742834,1.5578724398263637,5.742436299891134,0.08
0,1.0,55,120179,0,1.307907995693106,1.0,7.969963399785323,0.016
0,1.0,32,120186,0,1.0,1.0,14.595223518914844,1.8
1,4.0,27,120197,0,3.0,2.0,3.9346085877772365,4.0
1,2.0,64,120200,0,4.0,5.0,5.364764433742235,0.021
1,2.0,95,120202,0,5.0,3.0,7.677675250103877,6.5
1,2.0,17,120203,1,2.0,2.0,4.082463604731295,2.97
