id,price,area,bedrooms,wc,n_floors,car_place,house_orientation,furniture,facade,legal,street,district,type,date,address,latitude,longitude
101960,0.003,28,1.7880640142563178,1.340661377962507,1.0,1,,,0,,nhất chi mai,tân bình,tin thường,13/07/2023,"nhất chi mai, tân bình",10.8051119,106.6395686
107848,0.005,25,1.0,1.0,2.0,0,tây,,0,,dương quảng hàm,gò vấp,tin thường,13/09/2023,"dương quảng hàm, gò vấp",10.8249922,106.6950636
106824,4.5,28,4.0,2.9162252759358154,2.0,1,,,0,,,phú nhuận,tin thường,31/08/2023,phú nhuận,10.7990972,106.6802278
105544,0.005,55,1.0,1.0,1.0,0,,,0,,đỗ xuân hợp,quận 9,tin thường,17/08/2023,"đỗ xuân hợp, quận 9",10.8397,106.77093
102472,3.0,48,2.616500108512909,2.0937630807407106,1.0,1,,,0,,tân thành,tân phú,tin thường,18/07/2023,"tân thành, tân phú",10.790984,106.6344165
87881,2.4,22,1.0,2.083732910385821,2.0,1,,,0,,,tân bình,tin thường,30/12/2022,tân bình,10.802583,106.6521157
100425,0.009,70,2.0,2.0,2.0,0,,,0,,đường song hành,quận 9,tin thường,27/06/2023,"đường song hành, quận 9",10.8105356,106.7577496
107337,4.98,64,4.0,3.0,3.0,1,tây,,0,,,tân phú,tin thường,08/09/2023,tân phú,10.7914967,106.6278431
106825,0.03,100,2.4332851079565048,3.990585957108837,2.0,1,,,0,,,bình tân,tin thường,31/08/2023,bình tân,10.7703708,106.5996353
104777,5.6,54,4.0,3.0,2.0,1,,,0,,,quận 6,tin thường,09/08/2023,quận 6,10.745886,106.6392921
103753,5.7,52,2.0,2.0,1.0,0,,,0,,,tân bình,tin thường,29/07/2023,tân bình,10.802583,106.6521157
97353,3.4,39,1.0,1.0,1.0,0,,,0,,an dương vương,quận 5,tin thường,22/05/2023,"an dương vương, quận 5",10.756436,106.6682204
96073,5.7,129,2.0,2.863015709032204,1.0,1,,,0,,số 1,thủ đức,tin thường,05/05/2023,"số 1, thủ đức",10.7898232,106.7764953
95561,5.1,100,3.5332325229422157,2.7744878640350197,1.0,1,,,0,,hương lộ 3,bình tân,tin thường,26/04/2023,"hương lộ 3, bình tân",10.8032019,106.6098975
94025,7.99,60,5.0,5.0,4.0,0,,,0,,số 3,gò vấp,tin thường,04/04/2023,"số 3, gò vấp",10.8415917,106.6779046
89673,4.6,25,2.0,3.0,2.0,1,,,0,,,tân bình,tin thường,14/02/2023,tân bình,10.802583,106.6521157
88394,3.65,108,3.1811716109942116,2.5503100055429964,2.0,0,,,0,,,tân phú,tin thường,10/01/2023,tân phú,10.7914967,106.6278431
99914,4.9,42,2.0,2.0,1.0,1,,,0,,,phú nhuận,tin thường,20/06/2023,phú nhuận,10.7990972,106.6802278
94026,3.7,116,3.2640201884594684,3.136693613635808,2.0,0,,,0,,thành phố hồ chí minh,quận 9,tin thường,04/04/2023,"thành phố hồ chí minh, quận 9",10.75896,106.6730488
93002,2.1,65,2.0,2.0,2.0,0,,,0,,đỗ xuân hợp,quận 9,tin thường,22/03/2023,"đỗ xuân hợp, quận 9",10.8397,106.77093
